,0.0,0.2921189037050969,1.0,0.7069403049243231
0,1,0.238789703434279,0.4845842275499418,0.6542815351484341
1,1,0.2551438401375786,0.7071008403856902,0.7060107488443499
2,0,0.2778782932616295,0.7069750765627361,0.7071061568086814
3,1,0.3439326728520747,0.7014773036612778,0.707035802265469
4,1,0.2274566717296211,1.0,0.7069804424834945
5,0,0.3436680286874632,0.6976364075332875,0.5764161125894663
6,1,0.2278812314808533,1.0,0.7060107488443499
7,1,0.2207043532072217,1.0,0.6991930812036222
8,1,0.2215869479185288,0.4009963165962063,0.7071067811865476
9,1,0.258359582548359,1.0,0.7031213145745687
10,1,0.2805821240209483,0.4017789800464647,1.0
11,0,0.2715411739942317,0.5699906642407527,0.7070743853960351
12,1,0.3007517597487919,0.4442923371601494,1.0
13,0,0.3089925012562172,0.7069750765627361,0.7030735401338503
14,1,0.2192828833332838,1.0,1.0
15,1,0.254606220284285,0.7070920720507651,0.7060107488443499
16,0,0.2576249490384044,0.7070920720507651,0.498065734953313
17,1,0.2321951660535521,0.4441457284584073,0.7062151277409756
18,1,0.2890141781850479,0.5695223320810224,0.6976591882129135
19,0,0.2687665755851288,0.7067872855389808,0.7067978577377427
20,1,0.2932706978300043,0.6907725793647832,0.6935593805063149
21,1,0.3232805907894207,1.0,0.7069873383695439
22,1,0.2630871851276846,0.4679211357104464,0.4940699875898747
23,0,0.2807321506052808,0.4431906342080557,0.4994078674647904
24,0,0.3451722634468983,0.7069750765627361,0.7069766694321261
25,1,0.297232078436056,0.4385114845260268,0.7069873383695439
26,1,0.2499868838162118,0.6976364075332875,0.6826032915759785
27,0,0.2849655431580905,0.7054193904658316,0.7071067811865476
28,1,0.3223220842552076,0.5495009971511368,0.6978626644539518
29,1,0.3338935227069889,0.4369700439354665,0.7069873383695439
30,0,0.265682068659268,0.440058712614462,0.7037307155920229
31,0,0.2285296158989138,0.4007811441822001,0.5719128358862385
32,1,0.2507416092051079,0.572906577756449,0.7070211308676868
33,1,0.2951169153084329,0.7069677018638542,0.6975577518973229
34,1,0.3065456492228146,0.2739270282874194,0.7067514517394388
35,1,0.2823369069051888,0.57325272643173,0.703833240619911
36,1,0.2053743269706934,1.0,0.70476028102804
37,0,0.2543686146052166,0.5347245739382803,0.7058206280882593
38,1,0.2824862105923115,1.0,0.7065855031065886
39,0,0.2709773571071697,0.4974879901042255,0.7071066572666274
40,1,0.2643427685727735,0.5772479777021207,0.5749793261361126
41,0,0.2634759239667414,0.7067806203382898,0.498065734953313
42,0,0.2041581911223764,0.7059671874531763,0.7070535649715644
43,0,0.2515563300903162,0.5681274667044668,0.7064072353853573
44,1,0.2971827233260095,0.5495009971511368,1.0
45,0,0.3501125151329322,0.5693740137377121,0.7070828439956012
46,0,0.2553818825703048,0.5728443280370571,0.6896490060580844
